D_eff,delta_psi,recent_hits,S_final,fertile,intelligence_score,compression_ratio,fidelity_proxy
9,1.1,2,0.44443327491206,False,0.0,36.0,0.0
9,1.1,3,0.44417903398069236,False,0.0,36.0,0.0
9,1.2,0,0.46577143807610955,False,0.0,36.0,0.0
9,1.2,1,0.46549693795007113,False,0.0,36.0,0.0
9,1.2,2,0.46522270429976137,False,0.0,36.0,0.0
9,1.2,3,0.46494873686089583,False,0.0,36.0,0.0
10,0.2,0,0.1485609196691601,False,0.0,40.0,0.0
10,0.2,1,0.14858742489162344,False,0.0,40.0,0.0
10,0.2,2,0.14861390438368524,False,0.0,40.0,0.0
10,0.2,3,0.14864035817086427,False,0.0,40.0,0.0
10,0.3,0,0.13086813477626344,False,0.0,40.0,0.0
10,0.3,1,0.13091142892145669,False,0.0,40.0,0.0
10,0.3,2,0.1309546810381123,False,0.0,40.0,0.0
10,0.3,3,0.13099789116791316,False,0.0,40.0,0.0
10,0.4,0,0.12749415786023108,False,0.0,40.0,0.0
10,0.4,1,0.1275406536177244,False,0.0,40.0,0.0
10,0.4,2,0.12758710423865977,False,0.0,40.0,0.0
10,0.4,3,0.12763350976780252,False,0.0,40.0,0.0
10,0.5,0,0.14080914990928117,False,0.0,40.0,0.0
10,0.5,1,0.14084301089084666,False,0.0,40.0,0.0
10,0.5,2,0.14087683900128073,False,0.0,40.0,0.0
10,0.5,3,0.1409106342731841,False,0.0,40.0,0.0
10,0.6,0,0.17138623791044508,False,0.0,40.0,0.0
10,0.6,1,0.17139108387991017,False,0.0,40.0,0.0
10,0.6,2,0.17139592514506688,False,0.0,40.0,0.0
10,0.6,3,0.17140076171058086,False,0.0,40.0,0.0
10,0.7,0,0.2175914410120917,True,0.626609606747278,40.0,0.9253219213494557
10,0.7,1,0.2175524422397997,True,0.6263496149319978,40.0,0.9252699229863997
10,0.7,2,0.21751348132623802,True,0.6260898755082533,40.0,0.9252179751016507
10,0.7,3,0.2174745582338593,True,0.6258303882257286,40.0,0.9251660776451458
10,0.8,0,0.2753530785320486,True,0.9883128097863427,40.0,0.9976625619572685
10,0.8,1,0.275259268961177,True,0.988938206925487,40.0,0.9977876413850975
10,0.8,2,0.2751655504575632,True,0.9895629969495788,40.0,0.9979125993899158
10,0.8,3,0.27507192293088883,True,0.9901871804607412,40.0,0.9980374360921482
